Position,Company,Location,Industry,Posted On,Extracted On,Job Type,Qualification,Job Description,Job Id,Experience,Start Date,End Date,Source
Data Science Intern,Amazon,"Seattle, WA",Retail/Ecommerce,,,,"Enrolled in Master’s or Ph.D. degree in math, statistics, computer science, or related science field","We are looking for motivated data scientists with excellent leadership skills, and the ability to develop, automate, and run analytical models of our systems. You will have strong modeling skills and are comfortable owning data and working from concept through to execution. This role will also build tools and support structures needed to analyze data, dive deep into data to resolve root cause of systems errors and changes, and present findings to business partners to drive improvements.

Locations may vary by team, and include regions outside of Seattle.

Applicants have a demonstrated ability to manage medium-scale modeling projects, identify requirements, and build methodology and tools that are statistically grounded. You will have experience collaborating across organizational boundaries.",Job ID: A1235288,"machine-learning methodologies,
clustered data processing
Experience in communicating technically, at a level appropriate for the audience",,,https://www.amazon.jobs/en/jobs/1235288/data-science-intern?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid
IT Intern - BI & Analytics - Data Analytics,Costco Wholesale,,Retail/Ecommerce,,,,"maintaining a GPA of 3.0 or higher
students currently enrolled in an IT undergraduate or graduate program  or a recent graduate.","Costco’s IT Division is inviting students currently enrolled in an IT undergraduate or graduate program at a community college, college or university to participate in a 12-week paid internship program during the summer of 2021. Interns will work within specific areas in Costco’s Information Systems Division. Interns will attend presentations given by various members of Executive Management from IT and other areas of the Company. Interns will be responsible for their own travel and accommodation expenses. Housing is not provided.

As a member of the BI & Analytics team you will have the opportunity to explore and deliver solutions using machine learning, NLP and other evolving fields. Success requires the ability to tell stories through data using great visualization to speak to business stakeholders. Strong knowledge of modern tools for data extraction, transformation, modeling, visualization and storytelling will be important skills for the job. You will be someone who enjoys storytelling with data and be enthusiastic in helping Costco make smart use of information.

If you want to be a part of one of the BEST “to work for” companies in the world, simply apply and let your career be reimagined.

ROLE

Works with stakeholders to identify solutions that support their business requirements.
Works independently and within a team environment.
Pays attention to detail, self-motivated with the ability to follow instructions and complete assignments on time.
Learns and applies new concepts, processes and tools.
Takes initiative to solve problems and multi-tasks by prioritizing projects and deadlines.
Communicates effectively with team members, stakeholders and all levels of management.
Tells stories through modern visualization techniques and present to stakeholders.
Performs advanced data analysis to support any area of Costco’s business.
Builds and trains data models to solve business questions and aid decision making.",,"Costco warehouse, Ecommerce or retail experience",,,"https://www.glassdoor.com/job-listing/it-intern-bi-analytics-data-analytics-costco-wholesale-JV_IC1150505_KO0,37_KE38,54.htm?jl=4022402935&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Intern, Data Analytics-SoCal",Avanade,"Seattle, WA",Management consulting company,,,,College Junior-standing with target graduation date between December 2021 and June 2022. • Pursuit of a bachelor's degree in a technical-related discipline,"Responsibilities may include:
Support project teams in developing client solutions that are passionate about exploratory data analysis
Use your knowledge of statistics, programming, data modelling, and advanced mathematics to recognize patterns, see opportunities, pose business questions and make valuable discoveries that lead to better business decision-making
Provide input on data visualization techniques and opportunities",,"•Experience with at least one key analytics tools (R, SAS, SPSS, Tableau, Power BI, SQL, etc).
• Knowledge of data mining, analysis, and modeling
• Knowledge of statistical analysis, quantitative analytics, forecasting/predictive analytics
",10-week summer (June-August) ,,"https://www.glassdoor.co.in/job-listing/intern-data-analytics-socal-avanade-JV_IC1146821_KO0,27_KE28,35.htm?jl=4021148829&pos=102&ao=808960&s=21&guid=000001781c822956bbefd9f61b22f7c8&src=GD_JOB_AD&t=ESR&vt=w&cs=1_978d1966&cb=1615385999143&jobListingId=4021148829&ctt=1615386014608&srs=EI_JOBS"
"Data Scientist, Analytics, Intern
","
Facebook","Seattle, WA",Social Media Advertising,,,,"Currently has, or is in the process of obtaining, a Bachelors or Masters degree in Computer Science, Applied Mathematics, Statistics, Economics, or related technical field","Perform large-scale data analysis to extract useful business insights
Identify actionable insights, suggest recommendations and influence the direction of the business by communicating results to cross-functional groups
Work closely with a Product Manager and Engineering team to proactively create rule and manage decisions
Classify leads so that the teams work on the most valuable cases
Suggest improvements in the tools and techniques to help scale the team",,"Experience in solving analytical problems using quantitative approaches (or equivalent)
Experience with SQL or other programming languages (Python, Java, and/or C++)
Development experience in at least one scripting language (PHP, Perl, Python, etc.",,,https://www.facebook.com/careers/v2/jobs/559291598091589/
"Summer Intern, Data Science

",Just - Evotec Biologics,"Seattle, WA",Biotechnology Company,,,,"B.Sc. in molecular and computer science, cellular biology, bioengineering, biochemistry or a related field, or currently working towards that degree","Just is seeking a motivated bachelor or masters-level student for a Data Scientist internship during the 2021 summer quarter. The internship will focus on developing new data quantification methods, machine learning models, and data visualizations to work with therapeutic antibody data. This is your opportunity to further hone your data mining, visualization, and analysis skills and learn a wider range of data science methods all while working to develop affordable biotherapeutics and enabling technologies. The successful candidate will gain hands-on experience working with experimental data and building visualizations and models for real-life applications in biological, biochemical, and/or chemical engineering. Experience using machine learning and data analysis tools, high-level programming (Python, R, Java, Matlab), experimental laboratory methods, and data visualization are beneficial. This internship will give you the opportunity to work closely with Just's laboratory and production scientists and engineers, helping them learn from their data and advance biotherapeutic technologies.",243034373-2,"Experience with data science, data management and experience with interfacing data systems

Strong communication and analytical skills

.",,,https://westcoast-jobs.com/jobs/summer-intern-data-science-seattle-washington/243034373-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Operations Analyst Associate (Intern)

",General Dynamics Information Technology,Virginia,Information Technology & Servicess,,,,,"The Defense Professional Solutions Sector is looking for a Operations Analyst Associate (Intern) who will support Sector Operations as a data analyst with additional duties as required. The primary focus will be supporting our California timecard initiative.
Responsibilities:

Data analysis

Draw meaningful insights from raw data

Work with stakeholders to understand what insights are needed to support their business goals

Ad hoc reporting

Help identify problems and offer solutions that deliver business value and improve customer experience

",,"Data analysis

Draw meaningful insights from raw data

Work with stakeholders to understand what insights are needed to support their business goals

Ad hoc reporting",,,https://www.internships.com/posting/sam_7f1b1d4fe9e3266c
"Analyst, Data Visualization

",Ovative Group,Minnesota ,Software life Science,,,,"BA / BS in marketing, statistics, MIS, or relevant field","Develop Analytics Products and Tools
Work with clients and internal stakeholders to understand reporting needs, gather requirements, and develop use cases for new product offerings
Rapidly develop reporting beta's for testing and identify which is most viable and scalable
Develop custom datasets using data lake to power new analytics and reporting betas
Create and review proposals with key stakeholders to roll out reporting solution quickly to meet our client's needs
Key driver on implementations of Ovative's proprietary Marketing Analytics Platform (MAP)
Work across data science and data engineering to develop client datasets that will power reporting
Develop the reporting user interface for clients to digest the advanced analytical outputs produced by our MAP platform
Continue to provide thought leadership on how to improve the frontend user experience, data storytelling, and create efficiencies
Power and scale Ovative's internal reporting platform
Work with internal business teams to deploy and enhance our existing solutions that power our media teams reporting and analytics
Provide valuable input through critical thinking around how to create efficiencies and drive profitability",,"Experience writing SQL queries to develop datasets
Digital agency or digital marketing experience
Experience with advanced marketing return methodologies such as Multi-Touch Attribution and Media Mix Modeling
A base knowledge of statistics
MIS",,,https://www.internships.com/posting/sam_vJslOOmsDw3iJv-ZD6LQCA2PdLlPN6Sp-PhVNF1je0-8jWt0_dEybA
"Global Business Systems Analyst Intern

",Veritas Software Corporation,Minnesota ,Software & Tech Services,,,,"Working towards a Bachelor's or Master's degree in Computer Science, Information Management, Business Information Systems + Business intelligence platform + Data analysis, Excel + Power Point presentations ","Analyze and document business process flows, system functions, and solution designs for new business CRM application + Collaborate with cross functional teams to solve key business problems by either driving process change or making systematic recommendations for delivery + Prepare and review documentation for current processes, pain points, and assumptions for business systems and continuously identify gaps and opportunities for projects that will streamline processes + Assist in building innovative solutions that automate and scale the performance of our Sales tools and applications + Specifically analyze user requirements, procedures, and problems to automate and improve cross\-functional systems + Collaborate with Sales teams, Account Managers and discuss their system points and develop creative solutions for real business challenges + Perform detailed data analysis and data driven business recommendations + Coordinate and facilitate meetings with diverse business and technical stakeholders + Interface with cross\-functional teams to understand and document the impact of the proposed business solutions + Analyze internal processes, data, and problems and identify benefits from enabling new capabilities\. + Exceptional communication skills and ability to build rapport and consensus with cross\-functional colleagues + Create high quality documentation guides and facilitate project communication and documentation + Track and report progress toward key milestones and deliverables",11386602,"Data Analysis, Excel, Powerpoint presentation",,,https://www.internships.com/posting/bug_38962440703
Support Program Manager,Uber,"Seattle, WA",Internet,,,,"Basic Qualifications:

B.A. or B.S. (preferred)


","Launch and drive critical programs and projects from scratch to create a world-class engineering environment
Work with a diverse set of leaders to deeply understand all facets of the engineering experience, and collaborate across engineering to continuously improve it
Develop site-wide programs for interns, new hires, visitors, and more, taking creative approaches to every detail along the way
Create and lead working groups that focus on solving diverse problems across engineering
Organize internal and external office events, team trips and outings (there is a lot of celebrating here at Uber!)
Work closely with our facilities staff to ensure our physical environment is always best in class for our rapidly growing team
Take a scrappy approach to problems and develop a reputation as the person who makes things happen
Be on the ground floor of building a truly special technology organization in Seattle",,"Strong communication skills and ability to interact with internal and external partners
Superior organizational skills and great follow through on tasks
Demonstrated success in leading large-scale major site-focused programs and projects in a fast paced technology environment
Preferred Qualifications

An insatiable appetite for continuous improvement, working to build upon previous successes, and always creatively looking to make it better next time
Create and lead working groups that focus on solving diverse problems across engineering
Experience partnering with leadership to scale and grow an engineering site
Be a problem solver at heart with a genuine interest in helping
Work well under pressure in a fast paced environment",,,NA
Seattle Intern,Protiviti,"Seattle, WA",Recruiting and Staffing,,,,"Degree: Bachelor’s or Master’s degree in a relevant discipline (e.g., Accounting, Business Administration, Computer Engineering, Computer Science, Data Sciences, Economics, Finance, and Information Systems)
Visa Status: All applicants applying for U.S. job openings need authorization to work in the United States
Graduation Status: Must be within one year of graduation at time of internship","As an intern, you collaborate with the team to deliver client solutions for complex business problems that these organizations face. That’s why we focus on developing interns across our business and solutions so interns can gain experience in different industries, grow their technical capabilities, and gain leadership qualities that will ensure their future success.",,NA,,,https://www.internships.com/posting/sam_3636986752
